id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,excitement_index,highlights,notes
401309542,2021,1,regular,2021-09-02T23:00:00.000Z,False,False,False,,3965,UB Stadium,2084,Buffalo,Mid-American,69.0,14.0,24.0,21.0,10.0,0.99897084974525,2681,Wagner,,7.0,0.0,0.0,0.0,7.0,0.00102915025475,1.1537534212,,
401309834,2021,1,regular,2021-09-02T23:30:00.000Z,False,False,False,,587,Rice-Eccles Stadium,254,Utah,Pac-12,40.0,13.0,6.0,7.0,14.0,0.9832270850528868,2692,Weber State,,17.0,7.0,0.0,3.0,7.0,0.0167729149471133,1.7192597055,,
401300993,2021,1,regular,2021-09-02T23:30:00.000Z,False,False,False,,3792,Kidd Brewer Stadium,2026,Appalachian State,Sun Belt,33.0,14.0,6.0,7.0,6.0,0.9980612600501876,151,East Carolina,American Athletic,19.0,6.0,0.0,3.0,10.0,0.0019387399498124,3.0806245972,,
401300994,2021,1,regular,2021-09-02T23:30:00.000Z,False,False,False,,3674,Skelly Field at H. A. Chapman Stadium,202,Tulsa,American Athletic,17.0,3.0,7.0,7.0,0.0,,302,UC Davis,,19.0,7.0,3.0,3.0,6.0,,,,
401282607,2021,1,regular,2021-09-02T23:30:00.000Z,False,False,False,,3670,Carter-Finley Stadium,152,NC State,ACC,45.0,10.0,14.0,14.0,7.0,0.9987026978526788,58,South Florida,American Athletic,0.0,0.0,0.0,0.0,0.0,0.0012973021473212,1.7199176694,,
401282789,2021,1,regular,2021-09-03T00:00:00.000Z,False,False,True,,3953,TCF Bank Stadium,135,Minnesota,Big Ten,31.0,0.0,14.0,7.0,10.0,0.1714248139784475,194,Ohio State,Big Ten,45.0,7.0,3.0,21.0,14.0,0.8285751860215524,4.2810567838,,
401282180,2021,1,regular,2021-09-03T00:00:00.000Z,False,False,False,,3796,Houchens Industries-L. T. Smith Stadium,98,Western Kentucky,Conference USA,59.0,7.0,21.0,17.0,14.0,0.9974874797982356,2630,UT Martin,,21.0,7.0,7.0,0.0,7.0,0.0025125202017645,3.4696869058,,
401281952,2021,1,regular,2021-09-03T00:00:00.000Z,False,False,False,,3853,Neyland Stadium,2633,Tennessee,SEC,38.0,14.0,0.0,14.0,10.0,0.9851715866948813,189,Bowling Green,Mid-American,6.0,0.0,6.0,0.0,0.0,0.0148284133051187,1.2554934078,,
401310696,2021,1,regular,2021-09-03T00:00:00.000Z,False,False,False,,3971,University Stadium,167,New Mexico,Mountain West,27.0,14.0,7.0,3.0,3.0,,2277,Houston Baptist,,17.0,0.0,10.0,0.0,7.0,,,,
401310694,2021,1,regular,2021-09-03T02:00:00.000Z,False,False,False,,6501,Allegiant Stadium,2439,UNLV,Mountain West,33.0,0.0,6.0,0.0,14.0,,331,Eastern Washington,,35.0,0.0,3.0,17.0,0.0,,,,
401309835,2021,1,regular,2021-09-03T02:30:00.000Z,False,False,False,,3947,Sun Devil Stadium,9,Arizona State,Pac-12,41.0,13.0,15.0,6.0,7.0,0.998941726671274,253,Southern Utah,,14.0,7.0,0.0,7.0,0.0,0.0010582733287261,1.1008051137,,
